iter	MultiClass
0	3.5268603
1	3.474946418
2	3.431355769
3	3.391899906
4	3.356127488
5	3.323863415
6	3.294453717
7	3.266215426
8	3.240872071
9	3.217500352
10	3.196632086
11	3.176745453
12	3.159534814
13	3.141949123
14	3.12581801
15	3.110916306
16	3.097063531
17	3.083763386
18	3.071126035
19	3.059132862
20	3.047544851
21	3.036812867
22	3.026054495
23	3.016224992
24	3.006454907
25	2.997791739
26	2.989095943
27	2.981738855
28	2.974137355
29	2.966982182
30	2.960171074
31	2.95380951
32	2.94761503
33	2.941574365
34	2.936143894
35	2.931052899
36	2.926671256
37	2.921777785
38	2.916903867
39	2.912383153
40	2.908179627
41	2.903687412
42	2.899119385
43	2.895022407
44	2.890929119
45	2.887571218
46	2.884457919
47	2.88084245
48	2.877835877
49	2.875013708
50	2.871959364
51	2.86921182
52	2.866235549
53	2.863378896
54	2.860889697
55	2.858282967
56	2.855878126
57	2.853706704
58	2.850851711
59	2.848360358
60	2.846554527
61	2.84434496
62	2.842396601
63	2.840154143
64	2.83817369
65	2.836176121
66	2.834531088
67	2.832517031
