iter	Passed	Remaining
0	460	183769
1	915	182174
2	1366	180842
3	1818	179999
4	2265	178990
5	2706	177757
6	3151	176937
7	3599	176378
8	4051	176015
9	4498	175428
10	4942	174793
11	5389	174275
12	5834	173675
13	6279	173131
14	6723	172559
15	7173	172175
16	7628	171871
17	8068	171231
18	8517	170802
19	8957	170185
20	9409	169827
21	9853	169303
22	10323	169216
23	10779	168872
24	11227	168412
25	11664	167784
26	12320	170210
27	12941	171932
28	13528	173077
29	14111	174045
30	14699	174976
31	15285	175783
32	17194	191221
33	24932	268394
34	31441	327889
35	36832	372413
36	41165	403863
37	47539	452876
38	51950	480871
39	57510	517595
40	61954	542478
41	68046	580011
42	72536	602221
43	78370	634087
44	82752	652827
45	88825	683570
46	94775	711824
47	100017	733461
48	105213	753674
49	110152	771066
50	115121	787792
51	120631	807303
52	126655	829234
53	131388	841861
54	135600	850586
55	140610	863752
56	147115	885275
57	152603	899832
58	158374	915349
59	164085	929819
60	171296	951960
61	177491	967616
62	183098	979433
63	189082	992682
64	194907	1004520
65	200691	1015622
66	205621	1021967
67	211159	1030957
