Id,date,tournament
M000001_England,1872-11-30,Friendly
M000001_Scotland,1872-11-30,Friendly
M000002_England,1873-03-08,Friendly
M000002_Scotland,1873-03-08,Friendly
M000003_England,1874-03-07,Friendly
M000003_Scotland,1874-03-07,Friendly
M000004_England,1875-03-06,Friendly
M000004_Scotland,1875-03-06,Friendly
M000005_England,1876-03-04,Friendly
M000005_Scotland,1876-03-04,Friendly
M000006_Scotland,1876-03-25,Friendly
M000006_Wales,1876-03-25,Friendly
M000007_England,1877-03-03,Friendly
M000007_Scotland,1877-03-03,Friendly
M000008_Scotland,1877-03-05,Friendly
M000008_Wales,1877-03-05,Friendly
M000009_England,1878-03-02,Friendly
M000009_Scotland,1878-03-02,Friendly
M000010_Scotland,1878-03-23,Friendly
M000010_Wales,1878-03-23,Friendly
M000011_England,1879-01-18,Friendly
M000011_Wales,1879-01-18,Friendly
M000012_England,1879-04-05,Friendly
M000012_Scotland,1879-04-05,Friendly
M000013_Scotland,1879-04-07,Friendly
M000013_Wales,1879-04-07,Friendly
M000014_England,1880-03-13,Friendly
M000014_Scotland,1880-03-13,Friendly
M000015_England,1880-03-15,Friendly
M000015_Wales,1880-03-15,Friendly
M000016_Scotland,1880-03-27,Friendly
M000016_Wales,1880-03-27,Friendly
M000017_England,1881-02-26,Friendly
M000017_Wales,1881-02-26,Friendly
M000018_England,1881-03-12,Friendly
M000018_Scotland,1881-03-12,Friendly
M000019_Scotland,1881-03-14,Friendly
M000019_Wales,1881-03-14,Friendly
M000020_England,1882-02-18,Friendly
M000020_Northern Ireland,1882-02-18,Friendly
M000021_Northern Ireland,1882-02-25,Friendly
M000021_Wales,1882-02-25,Friendly
M000022_England,1882-03-11,Friendly
M000022_Scotland,1882-03-11,Friendly
M000023_England,1882-03-13,Friendly
M000023_Wales,1882-03-13,Friendly
M000024_Scotland,1882-03-25,Friendly
M000024_Wales,1882-03-25,Friendly
M000025_England,1883-02-03,Friendly
M000025_Wales,1883-02-03,Friendly
M000026_England,1883-02-24,Friendly
M000026_Northern Ireland,1883-02-24,Friendly
M000027_England,1883-03-10,Friendly
M000027_Scotland,1883-03-10,Friendly
M000028_Scotland,1883-03-12,Friendly
M000028_Wales,1883-03-12,Friendly
M000029_Northern Ireland,1883-03-17,Friendly
M000029_Wales,1883-03-17,Friendly
M000030_Northern Ireland,1884-01-26,British Home Championship
M000030_Scotland,1884-01-26,British Home Championship
M000031_Northern Ireland,1884-02-09,British Home Championship
M000031_Wales,1884-02-09,British Home Championship
M000032_England,1884-02-23,British Home Championship
M000032_Northern Ireland,1884-02-23,British Home Championship
M000033_England,1884-03-15,British Home Championship
M000033_Scotland,1884-03-15,British Home Championship
M000034_England,1884-03-17,British Home Championship
M000034_Wales,1884-03-17,British Home Championship
M000035_Scotland,1884-03-29,British Home Championship
M000035_Wales,1884-03-29,British Home Championship
M000036_England,1885-02-28,British Home Championship
M000036_Northern Ireland,1885-02-28,British Home Championship
M000037_England,1885-03-14,British Home Championship
M000037_Wales,1885-03-14,British Home Championship
M000038_Northern Ireland,1885-03-14,British Home Championship
M000038_Scotland,1885-03-14,British Home Championship
M000039_England,1885-03-21,British Home Championship
M000039_Scotland,1885-03-21,British Home Championship
M000040_Scotland,1885-03-23,British Home Championship
M000040_Wales,1885-03-23,British Home Championship
M000041_Northern Ireland,1885-04-11,British Home Championship
M000041_Wales,1885-04-11,British Home Championship
M000042_Canada,1885-11-28,Friendly
M000042_United States,1885-11-28,Friendly
M000043_Northern Ireland,1886-02-27,British Home Championship
M000043_Wales,1886-02-27,British Home Championship
M000044_England,1886-03-13,British Home Championship
M000044_Northern Ireland,1886-03-13,British Home Championship
M000045_Northern Ireland,1886-03-20,British Home Championship
M000045_Scotland,1886-03-20,British Home Championship
M000046_England,1886-03-27,British Home Championship
M000046_Scotland,1886-03-27,British Home Championship
M000047_England,1886-03-29,British Home Championship
M000047_Wales,1886-03-29,British Home Championship
M000048_Scotland,1886-04-10,British Home Championship
M000048_Wales,1886-04-10,British Home Championship
M000049_Canada,1886-11-25,Friendly
M000049_United States,1886-11-25,Friendly
M000050_England,1887-02-05,British Home Championship
M000050_Northern Ireland,1887-02-05,British Home Championship
M000051_Northern Ireland,1887-02-19,British Home Championship
M000051_Scotland,1887-02-19,British Home Championship
M000052_England,1887-02-26,British Home Championship
M000052_Wales,1887-02-26,British Home Championship
M000053_Northern Ireland,1887-03-12,British Home Championship
M000053_Wales,1887-03-12,British Home Championship
M000054_England,1887-03-19,British Home Championship
M000054_Scotland,1887-03-19,British Home Championship
M000055_Scotland,1887-03-21,British Home Championship
M000055_Wales,1887-03-21,British Home Championship
M000056_England,1888-02-04,British Home Championship
M000056_Wales,1888-02-04,British Home Championship
M000057_Northern Ireland,1888-03-03,British Home Championship
M000057_Wales,1888-03-03,British Home Championship
M000058_Scotland,1888-03-10,British Home Championship
M000058_Wales,1888-03-10,British Home Championship
M000059_England,1888-03-17,British Home Championship
M000059_Scotland,1888-03-17,British Home Championship
