n,gender,tournament,era,best_strategy,best_aw_mae,best_exact_pct,best_outcome_pct,Plan05_aw,ExpA_aw,ExpB_aw,ExpC_aw,ExpD_aw
2622,M,Friendly,2015-2018,ExpC,2.317612528934436,10.106788710907704,51.906941266209,2.368232906958959,2.3227812726733044,2.3227812726733044,2.317612528934436,2.3227812726733044
2618,M,Friendly,2011-2014,ExpC,2.3358184257166044,10.886172650878533,52.67379679144385,2.3698847941533145,2.3683168200101776,2.3683168200101776,2.3358184257166044,2.3683168200101776
1830,M,Friendly,2019-2022,ExpA,2.2692051113307734,10.710382513661203,55.84699453551912,2.278061276149593,2.2692051113307734,2.2692051113307734,2.2838367671879154,2.2692051113307734
1802,M,FIFA World Cup qualification,2023-2026,ExpC,2.35299444064177,12.042175360710322,59.211986681465035,2.354363542099039,2.354363542099039,2.3897521225553473,2.35299444064177,2.354363542099039
1732,M,FIFA World Cup qualification,2019-2022,ExpC,2.1741375615912926,15.069284064665128,62.413394919168596,2.1820958219791318,2.1820958219791318,2.1978293347068907,2.1741375615912926,2.1820958219791318
1702,M,FIFA World Cup qualification,2015-2018,ExpC,2.2879769134323036,10.81081081081081,62.04465334900118,2.300692925723986,2.29550110983469,2.29550110983469,2.2879769134323036,2.29550110983469
1578,M,Friendly,2023-2026,ExpC,2.3137509595533894,11.596958174904943,54.1191381495564,2.361353106165891,2.3174800388242116,2.3174800388242116,2.3137509595533894,2.3174800388242116
1496,M,FIFA World Cup qualification,2011-2014,Plan02,2.0920366350501762,15.975935828877006,61.16310160427807,2.1571667348645915,2.1571667348645915,2.1571667348645915,2.180406430176903,2.1571667348645915
1222,W,Friendly,2023-2026,Plan01,2.812176449660149,8.428805237315876,56.137479541734855,2.812176449660149,2.812176449660149,2.812176449660149,2.812176449660149,2.812176449660149
676,W,Friendly,2019-2022,Plan01,2.403459979235054,9.911242603550296,60.79881656804734,2.403459979235054,2.403459979235054,2.403459979235054,2.403459979235054,2.403459979235054
660,M,UEFA Nations League,2019-2022,Plan01,2.390947496665896,13.030303030303031,48.78787878787879,2.390947496665896,2.390947496665896,2.390947496665896,2.390947496665896,2.390947496665896
636,W,UEFA Nations League,2023-2026,Plan05,2.7701617442032007,7.232704402515723,50.62893081761006,2.7701617442032007,2.7701617442032007,2.7701617442032007,2.7701617442032007,2.7701617442032007
530,M,African Cup of Nations qualification,2015-2018,Plan01,2.0185018288698138,15.283018867924527,56.9811320754717,2.0185018288698138,2.0185018288698138,2.0185018288698138,2.0185018288698138,2.0185018288698138
524,M,UEFA Euro qualification,2019-2022,Plan01,2.1417499763450216,11.068702290076336,64.8854961832061,2.1417499763450216,2.1417499763450216,2.1417499763450216,2.1417499763450216,2.1417499763450216
498,M,CONCACAF Nations League,2023-2026,ExpC,2.6375029432116843,7.228915662650602,59.036144578313255,2.8714806729853475,2.7057422325095297,2.7057422325095297,2.6375029432116843,2.7057422325095297
478,M,UEFA Euro qualification,2023-2026,ExpA,2.1565162141971244,11.715481171548117,65.48117154811716,2.1869907351526807,2.1565162141971244,2.1565162141971244,2.1565162141971244,2.1565162141971244
478,M,African Cup of Nations qualification,2023-2026,Plan01,2.127492970841056,15.062761506276152,51.88284518828452,2.127492970841056,2.127492970841056,2.127492970841056,2.127492970841056,2.127492970841056
472,W,FIFA World Cup qualification,2019-2022,ExpB,2.8422429904646855,4.872881355932203,77.11864406779661,2.8700183248373676,2.8700183248373676,2.8422429904646855,2.8422429904646855,2.8700183248373676
458,M,African Cup of Nations qualification,2019-2022,ExpA,2.1008969602971534,18.12227074235808,58.951965065502186,2.120425258689689,2.1008969602971534,2.1008969602971534,2.1008969602971534,2.1008969602971534
456,W,FIFA World Cup qualification,2011-2014,ExpB,2.7042891294739717,6.140350877192982,73.90350877192982,2.7212250578907966,2.7212250578907966,2.7042891294739717,2.7042891294739717,2.7212250578907966
454,M,African Cup of Nations qualification,2011-2014,ExpB,1.991856919251881,19.162995594713657,57.48898678414097,2.0744206864332733,2.051241288861137,1.991856919251881,2.051241288861137,2.051241288861137
408,W,UEFA Euro qualification,2019-2022,ExpB,2.813566088890633,6.127450980392156,73.77450980392157,2.8170132866191566,2.8170132866191566,2.813566088890633,2.813566088890633,2.8170132866191566
404,M,UEFA Euro qualification,2011-2014,Plan01,2.2708852255975174,10.891089108910892,55.940594059405946,2.2708852255975174,2.2708852255975174,2.2708852255975174,2.2708852255975174,2.2708852255975174
382,W,UEFA Euro qualification,2023-2026,ExpA,2.3193896203092526,12.56544502617801,63.87434554973822,2.335836631838756,2.3193896203092526,2.3193896203092526,2.3193896203092526,2.3193896203092526
380,M,UEFA Nations League,2023-2026,Plan01,2.3982496778694635,13.421052631578947,52.89473684210526,2.3982496778694635,2.3982496778694635,2.3982496778694635,2.3982496778694635,2.3982496778694635
350,W,UEFA Euro qualification,2011-2014,Plan01,2.4445885154368874,9.714285714285714,74.28571428571429,2.4445885154368874,2.4445885154368874,2.4445885154368874,2.4445885154368874,2.4445885154368874
